"Havaintoasema","Vuosi","Kuukausi","Päivä","Aika [Paikallinen aika]","Ilman lämpötila [°C]","Sademäärä [mm]"
"Helsinki Kumpula","2024","5","25","00:00","18.4","0"
"Helsinki Kumpula","2024","5","25","00:10","17.8","0"
"Helsinki Kumpula","2024","5","25","00:20","17.6","0"
"Helsinki Kumpula","2024","5","25","00:30","17.3","0"
"Helsinki Kumpula","2024","5","25","00:40","17.3","0"
"Helsinki Kumpula","2024","5","25","00:50","17.3","0"
"Helsinki Kumpula","2024","5","25","01:00","17.3","0"
"Helsinki Kumpula","2024","5","25","01:10","17","0"
"Helsinki Kumpula","2024","5","25","01:20","16.8","0"
"Helsinki Kumpula","2024","5","25","01:30","16.8","0"
"Helsinki Kumpula","2024","5","25","01:40","16.7","0"
"Helsinki Kumpula","2024","5","25","01:50","16.4","0"
"Helsinki Kumpula","2024","5","25","02:00","16.2","0"
"Helsinki Kumpula","2024","5","25","02:10","16.1","0"
"Helsinki Kumpula","2024","5","25","02:20","16","0"
"Helsinki Kumpula","2024","5","25","02:30","16.1","0"
"Helsinki Kumpula","2024","5","25","02:40","15.7","0"
"Helsinki Kumpula","2024","5","25","02:50","15.4","0"
"Helsinki Kumpula","2024","5","25","03:00","15.5","0"
"Helsinki Kumpula","2024","5","25","03:10","15.5","0"
"Helsinki Kumpula","2024","5","25","03:20","15.3","0"
"Helsinki Kumpula","2024","5","25","03:30","15.2","0"
"Helsinki Kumpula","2024","5","25","03:40","15","0"
"Helsinki Kumpula","2024","5","25","03:50","15.1","0"
"Helsinki Kumpula","2024","5","25","04:00","15.2","0"
"Helsinki Kumpula","2024","5","25","04:10","15.4","0"
"Helsinki Kumpula","2024","5","25","04:20","15.6","0"
"Helsinki Kumpula","2024","5","25","04:30","15.5","0"
"Helsinki Kumpula","2024","5","25","04:40","15.3","0"
"Helsinki Kumpula","2024","5","25","04:50","15.4","0"
"Helsinki Kumpula","2024","5","25","05:00","15.4","0"
"Helsinki Kumpula","2024","5","25","05:10","15.2","0"
"Helsinki Kumpula","2024","5","25","05:20","14.9","0"
"Helsinki Kumpula","2024","5","25","05:30","15","0"
"Helsinki Kumpula","2024","5","25","05:40","15.3","0"
"Helsinki Kumpula","2024","5","25","05:50","15.8","0"
"Helsinki Kumpula","2024","5","25","06:00","16.1","0"
"Helsinki Kumpula","2024","5","25","06:10","16.5","0"
"Helsinki Kumpula","2024","5","25","06:20","16.7","0"
"Helsinki Kumpula","2024","5","25","06:30","16.9","0"
"Helsinki Kumpula","2024","5","25","06:40","16.6","0"
"Helsinki Kumpula","2024","5","25","06:50","16.5","0"
"Helsinki Kumpula","2024","5","25","07:00","16.8","0"
"Helsinki Kumpula","2024","5","25","07:10","16.8","0"
"Helsinki Kumpula","2024","5","25","07:20","16.9","0"
"Helsinki Kumpula","2024","5","25","07:30","17.8","0"
"Helsinki Kumpula","2024","5","25","07:40","18.3","0"
"Helsinki Kumpula","2024","5","25","07:50","19.2","0"
"Helsinki Kumpula","2024","5","25","08:00","19.9","0"
"Helsinki Kumpula","2024","5","25","08:10","20.2","0"
"Helsinki Kumpula","2024","5","25","08:20","20.2","0"
"Helsinki Kumpula","2024","5","25","08:30","20.4","0"
"Helsinki Kumpula","2024","5","25","08:40","20.4","0"
"Helsinki Kumpula","2024","5","25","08:50","20.4","0"
"Helsinki Kumpula","2024","5","25","09:00","20.6","0"
"Helsinki Kumpula","2024","5","25","09:10","20.6","0"
"Helsinki Kumpula","2024","5","25","09:20","21","0"
"Helsinki Kumpula","2024","5","25","09:30","21.1","0"
"Helsinki Kumpula","2024","5","25","09:40","21.7","0"
"Helsinki Kumpula","2024","5","25","09:50","22.7","0"
"Helsinki Kumpula","2024","5","25","10:00","22.9","0"
"Helsinki Kumpula","2024","5","25","10:10","23","0"
"Helsinki Kumpula","2024","5","25","10:20","23.6","0"
"Helsinki Kumpula","2024","5","25","10:30","24.1","0"
"Helsinki Kumpula","2024","5","25","10:40","24.9","0"
"Helsinki Kumpula","2024","5","25","10:50","25.2","0"
"Helsinki Kumpula","2024","5","25","11:00","25.2","0"
"Helsinki Kumpula","2024","5","25","11:10","24.8","0"
"Helsinki Kumpula","2024","5","25","11:20","25.7","0"
"Helsinki Kumpula","2024","5","25","11:30","25.9","0"
"Helsinki Kumpula","2024","5","25","11:40","25.9","0"
"Helsinki Kumpula","2024","5","25","11:50","26.3","0"
"Helsinki Kumpula","2024","5","25","12:00","26.1","0"
"Helsinki Kumpula","2024","5","25","12:10","26.4","0"
"Helsinki Kumpula","2024","5","25","12:20","26.1","0"
"Helsinki Kumpula","2024","5","25","12:30","26.1","0"
"Helsinki Kumpula","2024","5","25","12:40","25.9","0"
"Helsinki Kumpula","2024","5","25","12:50","26.2","0"
"Helsinki Kumpula","2024","5","25","13:00","26.5","0"
"Helsinki Kumpula","2024","5","25","13:10","26.7","0"
"Helsinki Kumpula","2024","5","25","13:20","27","0"
"Helsinki Kumpula","2024","5","25","13:30","27.2","0"
"Helsinki Kumpula","2024","5","25","13:40","27.1","0"
"Helsinki Kumpula","2024","5","25","13:50","27","0"
"Helsinki Kumpula","2024","5","25","14:00","27.5","0"
"Helsinki Kumpula","2024","5","25","14:10","27.1","0"
"Helsinki Kumpula","2024","5","25","14:20","25.9","0"
"Helsinki Kumpula","2024","5","25","14:30","24.9","0"
"Helsinki Kumpula","2024","5","25","14:40","24.5","0"
"Helsinki Kumpula","2024","5","25","14:50","24.4","0"
"Helsinki Kumpula","2024","5","25","15:00","23.9","0"
"Helsinki Kumpula","2024","5","25","15:10","23.5","0"
"Helsinki Kumpula","2024","5","25","15:20","23.5","0"
"Helsinki Kumpula","2024","5","25","15:30","23.4","0"
"Helsinki Kumpula","2024","5","25","15:40","23.5","0"
"Helsinki Kumpula","2024","5","25","15:50","24.1","0"
"Helsinki Kumpula","2024","5","25","16:00","24.2","0"
"Helsinki Kumpula","2024","5","25","16:10","23.9","0"
"Helsinki Kumpula","2024","5","25","16:20","23.7","0"
"Helsinki Kumpula","2024","5","25","16:30","22.9","0"
"Helsinki Kumpula","2024","5","25","16:40","22.1","0"
"Helsinki Kumpula","2024","5","25","16:50","21.7","0"
"Helsinki Kumpula","2024","5","25","17:00","21.4","0"
"Helsinki Kumpula","2024","5","25","17:10","21.7","0"
"Helsinki Kumpula","2024","5","25","17:20","21.4","0"
"Helsinki Kumpula","2024","5","25","17:30","21.1","0"
"Helsinki Kumpula","2024","5","25","17:40","20.1","0"
"Helsinki Kumpula","2024","5","25","17:50","19.5","0"
"Helsinki Kumpula","2024","5","25","18:00","20.2","0"
"Helsinki Kumpula","2024","5","25","18:10","20.3","0"
"Helsinki Kumpula","2024","5","25","18:20","21","0"
"Helsinki Kumpula","2024","5","25","18:30","21","0"
"Helsinki Kumpula","2024","5","25","18:40","21.3","0"
"Helsinki Kumpula","2024","5","25","18:50","21.7","0"
"Helsinki Kumpula","2024","5","25","19:00","22.1","0"
"Helsinki Kumpula","2024","5","25","19:10","22.2","0"
"Helsinki Kumpula","2024","5","25","19:20","21.9","0"
"Helsinki Kumpula","2024","5","25","19:30","21.6","0"
"Helsinki Kumpula","2024","5","25","19:40","21.4","0"
"Helsinki Kumpula","2024","5","25","19:50","21","0"
"Helsinki Kumpula","2024","5","25","20:00","20.6","0"
"Helsinki Kumpula","2024","5","25","20:10","20.4","0"
"Helsinki Kumpula","2024","5","25","20:20","20.2","0"
"Helsinki Kumpula","2024","5","25","20:30","19.9","0"
"Helsinki Kumpula","2024","5","25","20:40","19.8","0"
"Helsinki Kumpula","2024","5","25","20:50","19.5","0"
"Helsinki Kumpula","2024","5","25","21:00","19.2","0"
"Helsinki Kumpula","2024","5","25","21:10","19","0"
"Helsinki Kumpula","2024","5","25","21:20","19","0"
"Helsinki Kumpula","2024","5","25","21:30","18.8","0"
"Helsinki Kumpula","2024","5","25","21:40","18","0"
"Helsinki Kumpula","2024","5","25","21:50","17.4","0"
"Helsinki Kumpula","2024","5","25","22:00","17.2","0"
"Helsinki Kumpula","2024","5","25","22:10","17.2","0"
"Helsinki Kumpula","2024","5","25","22:20","17","0"
"Helsinki Kumpula","2024","5","25","22:30","17","0"
"Helsinki Kumpula","2024","5","25","22:40","17","0"
