,date,quality,temperature,enterococci,ecoli,blue_green_algae,other_observations
0,2021-06-01,1,13.3,20.0,44.0,0,0
1,2021-06-15,1,18.2,340.0,88.0,0,0
2,2021-06-21,1,21.8,90.0,35.0,0,0
3,2021-06-24,0,20.7,720.0,1600.0,0,0
4,2021-06-30,1,22.6,210.0,61.0,0,0
5,2021-07-06,1,24.3,45.0,31.0,0,0
6,2021-07-13,1,22.0,21.0,23.0,0,0
7,2021-07-27,1,20.8,19.0,6.0,0,0
8,2021-07-30,1,20.8,100.0,110.0,0,0
9,2021-08-11,1,18.0,45.0,44.0,0,0
10,2021-08-18,0,16.9,880.0,1700.0,0,0
11,2021-08-20,0,16.1,800.0,1100.0,0,0
12,2021-08-23,1,14.7,120.0,74.0,0,0
