date,quality,temperature,enterococci,ecoli,blue_green_algae,other_observations
2025-06-04,1,17.3,4.0,5.0,0,0
2025-06-18,1,17.8,200.0,51.0,0,0
2025-06-24,1,15.6,360.0,66.0,0,0
2025-07-01,1,15.8,350.0,220.0,0,0
2025-07-03,1,17.6,180.0,53.0,0,0
2025-07-08,0,15.6,800.0,2000.0,0,0
2025-07-09,0,14.4,800.0,2400.0,0,0
2025-07-11,1,15.1,330.0,110.0,0,0
2025-07-22,0,20.4,550.0,870.0,0,0
2025-07-23,0,21.3,800.0,920.0,0,0
2025-07-28,1,23.2,65.0,31.0,0,0
2025-08-05,1,20.7,220.0,290.0,0,0
2025-08-19,1,17.5,36.0,56.0,0,0
2025-08-26,1,14.5,43.0,50.0,0,0
